Book,Chapter,Verse,Text,Normalized,Filtered
Genesis,1,1,"['בְּרֵאשִׁ֖ית', 'בָּרָ֣א', 'אֱלֹהִ֑ים', 'אֵ֥ת', 'הַשָּׁמַ֖יִם', 'וְאֵ֥ת', 'הָאָֽרֶץ׃']","['בְּרֵאשִׁית', 'בָּרָא', 'אֱלֹהִים', 'אֵת', 'הַשָּׁמַיִם', 'וְאֵת', 'הָאָרֶץ']",['הָאָרֶץ']
Genesis,1,2,"['וְהָאָ֗רֶץ', 'הָיְתָ֥ה', 'תֹ֙הוּ֙', 'וָבֹ֔הוּ', 'וְחֹ֖שֶׁךְ', 'עַל־פְּנֵ֣י', 'תְה֑וֹם', 'וְר֣וּחַ', 'אֱלֹהִ֔ים', 'מְרַחֶ֖פֶת', 'עַל־פְּנֵ֥י', 'הַמָּֽיִם׃']","['וְהָאָרֶץ', 'הָיְתָה', 'תֹהוּ', 'וָבֹהוּ', 'וְחֹשֶׁךְ', 'עַלפְּנֵי', 'תְהוֹם', 'וְרוּחַ', 'אֱלֹהִים', 'מְרַחֶפֶת', 'עַלפְּנֵי', 'הַמָּיִם']","['וְהָאָרֶץ', 'תֹהוּ', 'וְחֹשֶׁךְ', 'תְהוֹם', 'וְרוּחַ', 'מְרַחֶפֶת']"
Genesis,1,3,"['וַיֹּ֥אמֶר', 'אֱלֹהִ֖ים', 'יְהִ֣י', 'א֑וֹר', 'וַֽיְהִי־אֽוֹר׃']","['וַיֹּאמֶר', 'אֱלֹהִים', 'יְהִי', 'אוֹר', 'וַיְהִיאוֹר']",['יְהִי']
Genesis,1,4,"['וַיַּ֧רְא', 'אֱלֹהִ֛ים', 'אֶת־הָא֖וֹר', 'כִּי־ט֑וֹב', 'וַיַּבְדֵּ֣ל', 'אֱלֹהִ֔ים', 'בֵּ֥ין', 'הָא֖וֹר', 'וּבֵ֥ין', 'הַחֹֽשֶׁךְ׃']","['וַיַּרְא', 'אֱלֹהִים', 'אֶתהָאוֹר', 'כִּיטוֹב', 'וַיַּבְדֵּל', 'אֱלֹהִים', 'בֵּין', 'הָאוֹר', 'וּבֵין', 'הַחֹשֶׁךְ']","['וַיַּרְא', 'וַיַּבְדֵּל', 'הַחֹשֶׁךְ']"
Genesis,1,5,"['וַיִּקְרָ֨א', 'אֱלֹהִ֤ים', '׀', 'לָאוֹר֙', 'י֔וֹם', 'וְלַחֹ֖שֶׁךְ', 'קָ֣רָא', 'לָ֑יְלָה', 'וַֽיְהִי־עֶ֥רֶב', 'וַֽיְהִי־בֹ֖קֶר', 'י֥וֹם', 'אֶחָֽד׃', 'פ']","['וַיִּקְרָא', 'אֱלֹהִים', '', 'לָאוֹר', 'יוֹם', 'וְלַחֹשֶׁךְ', 'קָרָא', 'לָיְלָה', 'וַיְהִיעֶרֶב', 'וַיְהִיבֹקֶר', 'יוֹם', 'אֶחָד', 'פ']","['', 'וְלַחֹשֶׁךְ', 'קָרָא', 'וַיְהִיעֶרֶב', 'וַיְהִיבֹקֶר']"
Genesis,1,6,"['וַיֹּ֣אמֶר', 'אֱלֹהִ֔ים', 'יְהִ֥י', 'רָקִ֖יעַ', 'בְּת֣וֹךְ', 'הַמָּ֑יִם', 'וִיהִ֣י', 'מַבְדִּ֔יל', 'בֵּ֥ין', 'מַ֖יִם', 'לָמָֽיִם׃']","['וַיֹּאמֶר', 'אֱלֹהִים', 'יְהִי', 'רָקִיעַ', 'בְּתוֹךְ', 'הַמָּיִם', 'וִיהִי', 'מַבְדִּיל', 'בֵּין', 'מַיִם', 'לָמָיִם']","['יְהִי', 'וִיהִי']"
Genesis,1,7,"['וַיַּ֣עַשׂ', 'אֱלֹהִים֮', 'אֶת־הָרָקִיעַ֒', 'וַיַּבְדֵּ֗ל', 'בֵּ֤ין', 'הַמַּ֙יִם֙', 'אֲשֶׁר֙', 'מִתַּ֣חַת', 'לָרָקִ֔יעַ', 'וּבֵ֣ין', 'הַמַּ֔יִם', 'אֲשֶׁ֖ר', 'מֵעַ֣ל', 'לָרָקִ֑יעַ', 'וֽ', 'ַיְהִי־כֵֽן׃']","['וַיַּעַשׂ', 'אֱלֹהִים', 'אֶתהָרָקִיעַ', 'וַיַּבְדֵּל', 'בֵּין', 'הַמַּיִם', 'אֲשֶׁר', 'מִתַּחַת', 'לָרָקִיעַ', 'וּבֵין', 'הַמַּיִם', 'אֲשֶׁר', 'מֵעַל', 'לָרָקִיעַ', 'ו', 'ַיְהִיכֵן']","['וַיַּעַשׂ', 'וַיַּבְדֵּל', 'מִתַּחַת']"
Genesis,1,8,"['וַיִּקְרָ֧א', 'אֱלֹהִ֛ים', 'לָֽרָקִ֖יעַ', 'שָׁמָ֑יִם', 'וַֽיְהִי־עֶ֥רֶב', 'וַֽיְהִי־בֹ֖קֶר', 'י֥וֹם', 'שֵׁנִֽי׃', 'פ']","['וַיִּקְרָא', 'אֱלֹהִים', 'לָרָקִיעַ', 'שָׁמָיִם', 'וַיְהִיעֶרֶב', 'וַיְהִיבֹקֶר', 'יוֹם', 'שֵׁנִי', 'פ']","['וַיְהִיעֶרֶב', 'וַיְהִיבֹקֶר']"
Genesis,1,9,"['וַיֹּ֣אמֶר', 'אֱלֹהִ֗ים', 'יִקָּו֨וּ', 'הַמַּ֜יִם', 'מִתַּ֤חַת', 'הַשָּׁמַ֙יִם֙', 'אֶל־מָק֣וֹם', 'אֶחָ֔ד', 'וְתֵרָאֶ֖ה', 'הַיַּבָּשָׁ֑ה', 'וַֽיְהִי־כֵֽן׃']","['וַיֹּאמֶר', 'אֱלֹהִים', 'יִקָּווּ', 'הַמַּיִם', 'מִתַּחַת', 'הַשָּׁמַיִם', 'אֶלמָקוֹם', 'אֶחָד', 'וְתֵרָאֶה', 'הַיַּבָּשָׁה', 'וַיְהִיכֵן']","['יִקָּווּ', 'מִתַּחַת', 'וְתֵרָאֶה', 'הַיַּבָּשָׁה']"
Genesis,1,10,"['וַיִּקְרָ֨א', 'אֱלֹהִ֤ים', '׀', 'לַיַּבָּשָׁה֙', 'אֶ֔רֶץ', 'וּלְמִקְוֵ֥ה', 'הַמַּ֖יִם', 'קָרָ֣א', 'יַמִּ֑ים', 'וַיַּ֥רְא', 'אֱלֹהִ֖ים', 'כִּי־טֽוֹב׃']","['וַיִּקְרָא', 'אֱלֹהִים', '', 'לַיַּבָּשָׁה', 'אֶרֶץ', 'וּלְמִקְוֵה', 'הַמַּיִם', 'קָרָא', 'יַמִּים', 'וַיַּרְא', 'אֱלֹהִים', 'כִּיטוֹב']","['', 'אֶרֶץ', 'וּלְמִקְוֵה', 'קָרָא', 'וַיַּרְא']"
Genesis,1,11,"['וַיֹּ֣אמֶר', 'אֱלֹהִ֗ים', 'תַּֽדְשֵׁ֤א', 'הָאָ֙רֶץ֙', 'דֶּ֗שֶׁא', 'עֵ֚שֶׂב', 'מַזְרִ֣יעַ', 'זֶ֔רַע', 'עֵ֣ץ', 'פְּרִ֞י', 'עֹ֤שֶׂה', 'פְּרִי֙', 'לְמִינ֔וֹ', 'אֲשֶׁ֥ר', 'זַרְעוֹ־ב֖וֹ', 'עַל־הָאָ֑רֶץ', 'וַֽיְהִי־כֵֽן׃']","['וַיֹּאמֶר', 'אֱלֹהִים', 'תַּדְשֵׁא', 'הָאָרֶץ', 'דֶּשֶׁא', 'עֵשֶׂב', 'מַזְרִיעַ', 'זֶרַע', 'עֵץ', 'פְּרִי', 'עֹשֶׂה', 'פְּרִי', 'לְמִינוֹ', 'אֲשֶׁר', 'זַרְעוֹבוֹ', 'עַלהָאָרֶץ', 'וַיְהִיכֵן']","['תַּדְשֵׁא', 'הָאָרֶץ', 'דֶּשֶׁא', 'עֵשֶׂב', 'מַזְרִיעַ', 'עֵץ', 'פְּרִי', 'עֹשֶׂה', 'פְּרִי']"
Genesis,1,12,"['וַתּוֹצֵ֨א', 'הָאָ֜רֶץ', 'דֶּ֠שֶׁא', 'עֵ֣שֶׂב', 'מַזְרִ֤יעַ', 'זֶ֙רַע֙', 'לְמִינֵ֔הוּ', 'וְעֵ֧ץ', 'עֹֽשֶׂה־פְּרִ֛י', 'אֲשֶׁ֥ר', 'זַרְעוֹ־ב֖וֹ', 'לְמִינֵ֑הוּ', 'וַיַּ֥רְא', 'אֱלֹהִ֖ים', 'כִּי־טֽוֹב׃']","['וַתּוֹצֵא', 'הָאָרֶץ', 'דֶּשֶׁא', 'עֵשֶׂב', 'מַזְרִיעַ', 'זֶרַע', 'לְמִינֵהוּ', 'וְעֵץ', 'עֹשֶׂהפְּרִי', 'אֲשֶׁר', 'זַרְעוֹבוֹ', 'לְמִינֵהוּ', 'וַיַּרְא', 'אֱלֹהִים', 'כִּיטוֹב']","['וַתּוֹצֵא', 'הָאָרֶץ', 'דֶּשֶׁא', 'עֵשֶׂב', 'מַזְרִיעַ', 'וְעֵץ', 'עֹשֶׂהפְּרִי', 'וַיַּרְא']"
Genesis,1,13,"['וֽ', 'ַיְהִי־עֶ֥רֶב', 'וֽ', 'ַיְהִי־בֹ֖קֶר', 'י֥וֹם', 'שְׁלִישִֽׁי׃', 'פ']","['ו', 'ַיְהִיעֶרֶב', 'ו', 'ַיְהִיבֹקֶר', 'יוֹם', 'שְׁלִישִׁי', 'פ']","['ַיְהִיעֶרֶב', 'ַיְהִיבֹקֶר']"
Genesis,1,14,"['וַיֹּ֣אמֶר', 'אֱלֹהִ֗ים', 'יְהִ֤י', 'מְאֹרֹת֙', 'בִּרְקִ֣יעַ', 'הַשָּׁמַ֔יִם', 'לְהַבְדִּ֕יל', 'בֵּ֥ין', 'הַיּ֖וֹם', 'וּבֵ֣ין', 'הַלָּ֑יְלָה', 'וְהָי֤וּ', 'לְאֹתֹת֙', 'וּלְמ֣וֹעֲדִ֔ים', 'וּלְיָמִ֖ים', 'וְשָׁנִֽים׃']","['וַיֹּאמֶר', 'אֱלֹהִים', 'יְהִי', 'מְאֹרֹת', 'בִּרְקִיעַ', 'הַשָּׁמַיִם', 'לְהַבְדִּיל', 'בֵּין', 'הַיּוֹם', 'וּבֵין', 'הַלָּיְלָה', 'וְהָיוּ', 'לְאֹתֹת', 'וּלְמוֹעֲדִים', 'וּלְיָמִים', 'וְשָׁנִים']","['יְהִי', 'מְאֹרֹת']"
Genesis,1,15,"['וְהָי֤וּ', 'לִמְאוֹרֹת֙', 'בִּרְקִ֣יעַ', 'הַשָּׁמַ֔יִם', 'לְהָאִ֖יר', 'עַל־הָאָ֑רֶץ', 'וֽ', 'ַיְהִי־כֵֽן׃']","['וְהָיוּ', 'לִמְאוֹרֹת', 'בִּרְקִיעַ', 'הַשָּׁמַיִם', 'לְהָאִיר', 'עַלהָאָרֶץ', 'ו', 'ַיְהִיכֵן']",[]
Genesis,1,16,"['וַיַּ֣עַשׂ', 'אֱלֹהִ֔ים', 'אֶת־שְׁנֵ֥י', 'הַמְּאֹרֹ֖ת', 'הַגְּדֹלִ֑ים', 'אֶת־הַמָּא֤וֹר', 'הַגָּדֹל֙', 'לְמֶמְשֶׁ֣לֶת', 'הַיּ֔וֹם', 'וְאֶת־הַמָּא֤וֹר', 'הַקָּטֹן֙', 'לְמֶמְשֶׁ֣לֶת', 'הַלַּ֔יְלָה', 'וְאֵ֖ת', 'הַכּוֹכָבִֽים׃']","['וַיַּעַשׂ', 'אֱלֹהִים', 'אֶתשְׁנֵי', 'הַמְּאֹרֹת', 'הַגְּדֹלִים', 'אֶתהַמָּאוֹר', 'הַגָּדֹל', 'לְמֶמְשֶׁלֶת', 'הַיּוֹם', 'וְאֶתהַמָּאוֹר', 'הַקָּטֹן', 'לְמֶמְשֶׁלֶת', 'הַלַּיְלָה', 'וְאֵת', 'הַכּוֹכָבִים']","['וַיַּעַשׂ', 'הַמְּאֹרֹת', 'הַגָּדֹל', 'הַכּוֹכָבִים']"
Genesis,1,17,"['וַיִּתֵּ֥ן', 'אֹתָ֛ם', 'אֱלֹהִ֖ים', 'בִּרְקִ֣יעַ', 'הַשָּׁמָ֑יִם', 'לְהָאִ֖יר', 'עַל־הָאָֽרֶץ׃']","['וַיִּתֵּן', 'אֹתָם', 'אֱלֹהִים', 'בִּרְקִיעַ', 'הַשָּׁמָיִם', 'לְהָאִיר', 'עַלהָאָרֶץ']",[]
Genesis,1,18,"['וְלִמְשֹׁל֙', 'בַּיּ֣וֹם', 'וּבַלַּ֔יְלָה', 'וּֽלֲהַבְדִּ֔יל', 'בֵּ֥ין', 'הָא֖וֹר', 'וּבֵ֣ין', 'הַחֹ֑שֶׁךְ', 'וַיַּ֥רְא', 'אֱלֹהִ֖ים', 'כִּי־טֽוֹב׃']","['וְלִמְשֹׁל', 'בַּיּוֹם', 'וּבַלַּיְלָה', 'וּלֲהַבְדִּיל', 'בֵּין', 'הָאוֹר', 'וּבֵין', 'הַחֹשֶׁךְ', 'וַיַּרְא', 'אֱלֹהִים', 'כִּיטוֹב']","['הַחֹשֶׁךְ', 'וַיַּרְא']"
Genesis,1,19,"['וַֽיְהִי־עֶ֥רֶב', 'וַֽיְהִי־בֹ֖קֶר', 'י֥וֹם', 'רְבִיעִֽי׃', 'פ']","['וַיְהִיעֶרֶב', 'וַיְהִיבֹקֶר', 'יוֹם', 'רְבִיעִי', 'פ']","['וַיְהִיעֶרֶב', 'וַיְהִיבֹקֶר', 'רְבִיעִי']"
Genesis,1,20,"['וַיֹּ֣אמֶר', 'אֱלֹהִ֔ים', 'יִשְׁרְצ֣וּ', 'הַמַּ֔יִם', 'שֶׁ֖רֶץ', 'נֶ֣פֶשׁ', 'חַיָּ֑ה', 'וְעוֹף֙', 'יְעוֹפֵ֣ף', 'עַל־הָאָ֔רֶץ', 'עַל־פְּנֵ֖י', 'רְקִ֥יעַ', 'הַשָּׁמָֽיִם׃']","['וַיֹּאמֶר', 'אֱלֹהִים', 'יִשְׁרְצוּ', 'הַמַּיִם', 'שֶׁרֶץ', 'נֶפֶשׁ', 'חַיָּה', 'וְעוֹף', 'יְעוֹפֵף', 'עַלהָאָרֶץ', 'עַלפְּנֵי', 'רְקִיעַ', 'הַשָּׁמָיִם']","['שֶׁרֶץ', 'נֶפֶשׁ', 'חַיָּה', 'יְעוֹפֵף']"
Genesis,1,21,"['וַיִּבְרָ֣א', 'אֱלֹהִ֔ים', 'אֶת־הַתַּנִּינִ֖ם', 'הַגְּדֹלִ֑ים', 'וְאֵ֣ת', 'כָּל־נֶ֣פֶשׁ', 'הֽ', 'ַחַיָּ֣ה', '׀', 'הָֽרֹמֶ֡שֶׂת', 'אֲשֶׁר֩', 'שָׁרְצ֨וּ', 'הַמַּ֜יִם', 'לְמִֽינֵהֶ֗ם', 'וְאֵ֨ת', 'כָּל־ע֤וֹף', 'כָּנָף֙', 'לְמִינֵ֔הוּ', 'וַיַּ֥רְא', 'אֱלֹהִ֖ים', 'כִּי־טֽוֹב׃']","['וַיִּבְרָא', 'אֱלֹהִים', 'אֶתהַתַּנִּינִם', 'הַגְּדֹלִים', 'וְאֵת', 'כָּלנֶפֶשׁ', 'ה', 'ַחַיָּה', '', 'הָרֹמֶשֶׂת', 'אֲשֶׁר', 'שָׁרְצוּ', 'הַמַּיִם', 'לְמִינֵהֶם', 'וְאֵת', 'כָּלעוֹף', 'כָּנָף', 'לְמִינֵהוּ', 'וַיַּרְא', 'אֱלֹהִים', 'כִּיטוֹב']","['ַחַיָּה', '', 'הָרֹמֶשֶׂת', 'שָׁרְצוּ', 'כָּנָף', 'וַיַּרְא']"
Genesis,1,22,"['וַיְבָ֧רֶךְ', 'אֹתָ֛ם', 'אֱלֹהִ֖ים', 'לֵאמֹ֑ר', 'פְּר֣וּ', 'וּרְב֗וּ', 'וּמִלְא֤וּ', 'אֶת־הַמַּ֙יִם֙', 'בַּיַּמִּ֔ים', 'וְהָע֖וֹף', 'יִ֥רֶב', 'בָּאָֽרֶץ׃']","['וַיְבָרֶךְ', 'אֹתָם', 'אֱלֹהִים', 'לֵאמֹר', 'פְּרוּ', 'וּרְבוּ', 'וּמִלְאוּ', 'אֶתהַמַּיִם', 'בַּיַּמִּים', 'וְהָעוֹף', 'יִרֶב', 'בָּאָרֶץ']","['פְּרוּ', 'יִרֶב']"
Genesis,1,23,"['וַֽיְהִי־עֶ֥רֶב', 'וַֽיְהִי־בֹ֖קֶר', 'י֥וֹם', 'חֲמִישִֽׁי׃', 'פ']","['וַיְהִיעֶרֶב', 'וַיְהִיבֹקֶר', 'יוֹם', 'חֲמִישִׁי', 'פ']","['וַיְהִיעֶרֶב', 'וַיְהִיבֹקֶר']"
Genesis,1,24,"['וַיֹּ֣אמֶר', 'אֱלֹהִ֗ים', 'תּוֹצֵ֨א', 'הָאָ֜רֶץ', 'נֶ֤פֶשׁ', 'חַיָּה֙', 'לְמִינָ֔הּ', 'בְּהֵמָ֥ה', 'וָרֶ֛מֶשׂ', 'וְחַֽיְתוֹ־אֶ֖רֶץ', 'לְמִינָ֑הּ', 'וַֽיְהִי־כֵֽן׃']","['וַיֹּאמֶר', 'אֱלֹהִים', 'תּוֹצֵא', 'הָאָרֶץ', 'נֶפֶשׁ', 'חַיָּה', 'לְמִינָהּ', 'בְּהֵמָה', 'וָרֶמֶשׂ', 'וְחַיְתוֹאֶרֶץ', 'לְמִינָהּ', 'וַיְהִיכֵן']","['תּוֹצֵא', 'הָאָרֶץ', 'נֶפֶשׁ', 'חַיָּה', 'וָרֶמֶשׂ', 'וְחַיְתוֹאֶרֶץ']"
Genesis,1,25,"['וַיַּ֣עַשׂ', 'אֱלֹהִים֩', 'אֶת־חַיַּ֨ת', 'הָאָ֜רֶץ', 'לְמִינָ֗הּ', 'וְאֶת־הַבְּהֵמָה֙', 'לְמִינָ֔הּ', 'וְאֵ֛ת', 'כָּל־רֶ֥מֶשׂ', 'הָֽאֲדָמָ֖ה', 'לְמִינֵ֑הוּ', 'וַיַּ֥רְא', 'אֱלֹהִ֖ים', 'כִּי־טֽוֹב׃']","['וַיַּעַשׂ', 'אֱלֹהִים', 'אֶתחַיַּת', 'הָאָרֶץ', 'לְמִינָהּ', 'וְאֶתהַבְּהֵמָה', 'לְמִינָהּ', 'וְאֵת', 'כָּלרֶמֶשׂ', 'הָאֲדָמָה', 'לְמִינֵהוּ', 'וַיַּרְא', 'אֱלֹהִים', 'כִּיטוֹב']","['וַיַּעַשׂ', 'הָאָרֶץ', 'וַיַּרְא']"
